Rank,KNN,KNN_Description,OLS,OLS_Description,SVR,SVR_Description,PCA,PCA_Description,Xgboost,Xgboost_Description,Random Forest,Random Forest_Description
1,D_DEXVZUS,Venezuelan Bolivares to U.S. Dollar Spot Exchange Rate,D_WILLMIDCAPPR,Wilshire US Mid-Cap Price Index,Crypto_Trends,Google Trends for Crypto Keywords,M_PPIFID,Producer Price Index by Commodity: Final Demand,D_WILLMICROCAP,Wilshire US Micro-Cap Total Market Index,D_WILLMICROCAP,Wilshire US Micro-Cap Total Market Index
2,Crypto_Trends,Google Trends for Crypto Keywords,D_WILLMIDCAPGRPR,Wilshire US Mid-Cap Growth Price Index,D_WILLMICROCAP,Wilshire US Micro-Cap Total Market Index,M_PPIFDG,Producer Price Index by Commodity: Final Demand: Final Demand Goods,M_APU0000702111,"Average Price: Bread, White, Pan (Cost per Pound/453.6 Grams) in U.S.City Average",M_APU0000702111,"Average Price: Bread, White, Pan (Cost per Pound/453.6 Grams) in U.S.City Average"
3,D_WILLMICROCAP,Wilshire US Micro-Cap Total Market Index,D_WILLMIDCAPVALPR,Wilshire US Mid-Cap Value Price Index,D_WILLMIDCAPGRPR,Wilshire US Mid-Cap Growth Price Index,Q_PIEAMP01USQ661N,Producer Prices Index: Economic Activities: Manufacturing: Total forUnited States,M_CPIAPPNS,Consumer Price Index for All Urban Consumers: Apparel in U.S. CityAverage,M_CPIAPPNS,Consumer Price Index for All Urban Consumers: Apparel in U.S. CityAverage
4,D_NONFIN4180AAVOL,"Number of Issues, with a Maturity Between 41 and 80 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",M_TOTRESNS,Reserves of Depository Institutions: Total,D_WILLMIDCAPPR,Wilshire US Mid-Cap Price Index,Q_USAPPDMQINMEI,Producer Prices Index: Economic Activities: Manufacturing: Domesticfor United States,M_EXVZUS,Venezuelan Bolivares to U.S. Dollar Spot Exchange Rate,D_DEXKOUS,South Korean Won to U.S. Dollar Spot Exchange Rate
5,D_VXIBMCLS,CBOE Equity VIX on IBM,RETSALESSA,"Retail Sales Volume,Index",M_TOTRESNS,Reserves of Depository Institutions: Total,Q_PITGCG01USQ661N,Producer Prices Index: Type of Goods: Consumer Goods: Total for UnitedStates,M_CEU4200000001,"All Employees, Retail Trade",M_WPU101211,Producer Price Index by Commodity: Metals and Metal Products: CarbonSteel Scrap
6,M_WPU083,Producer Price Index by Commodity: Lumber and Wood Products: Plywood,D_WILLMICROCAP,Wilshire US Micro-Cap Total Market Index,D_WILLMIDCAPVALPR,Wilshire US Mid-Cap Value Price Index,Q_LFUN25TTUSQ647N,Unemployed Population: Aged 25-54: Total for United States,M_LFWA64TTUSM647N,Working Age Population: Aged 15-64: All Persons for United States,D_DEXVZUS,Venezuelan Bolivares to U.S. Dollar Spot Exchange Rate
7,M_CEU0500000002,"Average Weekly Hours of All Employees, Total Private",M_WPU083,Producer Price Index by Commodity: Lumber and Wood Products: Plywood,D_DJTA,Dow Jones Transportation Average,Q_LRUN25TTUSQ156N,Unemployment Rate: Aged 25-54: All Persons for United States,D_DEXKOUS,South Korean Won to U.S. Dollar Spot Exchange Rate,M_EXVZUS,Venezuelan Bolivares to U.S. Dollar Spot Exchange Rate
8,D_WILLRESIPR,Wilshire US Real Estate Securities Price Index (Wilshire US RESI),Crypto_Trends,Google Trends for Crypto Keywords,D_WILLRESIPR,Wilshire US Real Estate Securities Price Index (Wilshire US RESI),Q_LFUN74TTUSQ647N,Unemployed Population: Aged 15-74: All Persons for United States,M_WPU0221,Producer Price Index by Commodity: Processed Foods and Feeds: Meats,Q_LFWA55TTUSQ647N,Working Age Population: Aged 55-64: All Persons for United States
9,D_DEXHKUS,Hong Kong Dollars to U.S. Dollar Spot Exchange Rate,M_UNXANO,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,M_WPU101707,Producer Price Index by Commodity: Metals and Metal Products: ColdRolled Steel Sheet and Strip,M_EXCAUS,Canadian Dollars to U.S. Dollar Spot Exchange Rate,D_DEXVZUS,Venezuelan Bolivares to U.S. Dollar Spot Exchange Rate,Q_LFWA24TTUSQ647N,Working Age Population: Aged 15-24: All Persons for United States
10,D_NONFIN4180A2P2AMT,"Total Value of Issues, with a Maturity Between 41 and 80 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",M_PCU331315331315,"Producer Price Index by Industry: Aluminum Sheet, Plate, and FoilManufacturing",M_T5YIEM,5-Year Breakeven Inflation Rate,D_DEXCAUS,Canadian Dollars to U.S. Dollar Spot Exchange Rate,M_BAA10YM,Moody's Seasoned Baa Corporate Bond Yield Relative to Yield on 10-YearTreasury Constant Maturity,M_LFWA64TTUSM647N,Working Age Population: Aged 15-64: All Persons for United States
